H	M
-13521.81201	-822.64447
-13616.96924	-860.99369
-13717.28516	-763.53301
-13802.4458	-796.23374
-13897.48389	-809.37888
-13992.46826	-832.68746
-14097.50488	-757.60085
-14207.50244	-835.68614
-14302.51221	-780.88366
-14392.61279	-779.37353
-14482.63672	-774.22872
-14597.69727	-781.46468
-14687.71973	-771.21541
-14767.61914	-814.26834
-14872.51416	-754.81165
-14967.55273	-802.21937
-15062.62402	-796.21514
-15162.60547	-785.26849
-15257.59668	-806.88209
-15357.59326	-832.50521
-15462.62402	-718.31859
-15562.69043	-806.24989
-15662.69775	-835.55842
-15767.69971	-725.26706
-15867.7002	-778.08435
-15987.53516	-803.4913
-16087.31836	-823.79212
-16167.23682	-773.36788
-16267.21777	-806.56584
-16362.15283	-802.48107
-16462.19336	-781.36552
-16562.26953	-812.37953
-16657.24023	-718.25136
-16762.25586	-814.20839
-16867.27148	-808.17285
-16962.21582	-801.64801
-17057.21484	-793.12884
-17162.26074	-792.80282
-17262.28418	-751.8294
-17362.19336	-806.62634
-17472.1709	-801.15358
-17572.28418	-755.83631
-17667.30566	-769.92978
-17767.27637	-808.69469
-17862.31055	-799.90098
-18057.31836	-821.06472
-18092.30176	-795.2392
-18167.31934	-796.03541
-18257.3623	-790.32323
-18357.43066	-840.97146
-18457.51172	-760.45302
-18557.55273	-849.8599
-18657.6084	-799.43346
-18762.60449	-752.01545
-18867.57227	-801.11903
-18962.66895	-800.77528
-19077.7041	-775.81276
-19177.74414	-792.59663
-19257.87598	-842.31172
-19362.80176	-793.11199
-19462.72461	-758.38586
-19557.72168	-824.23532
-19657.70898	-804.8233
-19757.71094	-822.82281
-19857.70996	-759.28077
-19967.79883	-775.41878
-20067.88281	-777.14846
-20157.88184	-748.79924
-20257.83496	-810.6237
-20357.71289	-836.62132
-20552.6123	-809.46022
-20612.54199	-803.5202
-20722.49023	-804.42811
-20817.47559	-816.82181
-20917.53809	-804.25006
-21017.62598	-804.9254
-21107.5957	-813.36229
-21197.64844	-767.48332
-21272.62793	-778.21939
-21362.65625	-878.23215
-21462.75879	-750.65433
-21557.75586	-777.25251
-21657.72266	-853.45744
-21757.5791	-762.93169
-21857.57031	-860.86202
-21957.69141	-737.65616
-22057.61914	-774.14589
-22157.58301	-810.89337
-22262.65918	-810.93231
-22362.68457	-786.86849
-22457.73242	-867.23559
-22557.75391	-776.66121
-22657.77051	-739.0958
-22757.9082	-737.52929
-22858.02246	-885.66684
-22958.1084	-706.88278
-23063.15137	-793.6126
-23163.14844	-810.16971
-23258.24219	-797.99525
-23358.33789	-772.66656
-23458.20703	-776.83412
-23558.08984	-796.05234
-23658.11426	-811.24443
-23758.09961	-777.11216
-23858.21289	-762.00952
-23958.24707	-827.28971
-24068.20215	-817.68685
-24193.18652	-801.03549
-24303.20703	-783.13834
-24393.29102	-778.27084
-24488.19238	-789.27685
-24578.17773	-812.4972
-24668.22754	-791.95339
-24778.19141	-778.94046
-24873.24902	-797.99873
-24958.22559	-787.46527
-25058.14551	-773.4366
-25158.06152	-795.54268
-25257.95703	-795.53204
-25352.83496	-760.63805
-25447.78418	-863.45958
-25552.9248	-738.31778
-25658.03613	-752.74148
-25752.97949	-868.90973
-25852.875	-797.21133
-25957.86328	-719.14301
-26057.96484	-801.64303
-26168.05176	-776.55587
-26268.04492	-770.5865
-26357.96094	-816.4232
