H	M
-2152.17391	0.00179
-2195.65217	0.00186
-2239.13043	0.00184
-2282.6087	0.00192
-2326.08696	0.00196
-2369.56522	0.00196
-2413.04348	0.002
-2456.52174	0.00205
-2500	0.00207
-2543.47826	0.00214
-2586.95652	0.00216
-2630.43478	0.00212
-2673.91304	0.00221
-2717.3913	0.00221
-2760.86957	0.00222
-2804.34783	0.00228
-2847.82609	0.00237
-2891.30435	0.00241
-2934.78261	0.0025
-2978.26087	0.00255
-3021.73913	0.00262
-3065.21739	0.00266
-3108.69565	0.00269
-3152.17391	0.00275
-3195.65217	0.00279
-3239.13043	0.00283
-3282.6087	0.00296
-3326.08696	0.00299
-3369.56522	0.00297
-3413.04348	0.00314
-3456.52174	0.00326
-3500	0.00323
-3543.47826	0.00324
-3586.95652	0.00329
-3630.43478	0.00333
-3673.91304	0.00338
-3717.3913	0.00346
-3760.86957	0.00353
-3804.34783	0.00353
-3847.82609	0.00356
-3891.30435	0.00361
-3934.78261	0.00372
-3978.26087	0.00382
-4021.73913	0.00384
-4065.21739	0.00383
-4108.69565	0.00385
-4152.17391	0.00398
-4195.65217	0.00402
-4239.13043	0.00405
-4282.6087	0.00409
-4326.08696	0.00418
-4369.56522	0.00424
-4413.04348	0.00422
-4456.52174	0.00421
-4500	0.00427
-4543.47826	0.00432
-4586.95652	0.00435
-4630.43478	0.00455
-4673.91304	0.00448
-4717.3913	0.00433
-4760.86957	0.0043
-4804.34783	0.00434
-4847.82609	0.0044
-4891.30435	0.00437
-4934.78261	0.00447
-4978.26087	0.00446
-5021.73913	0.00444
-5065.21739	0.00448
-5108.69565	0.0045
-5152.17391	0.00444
-5195.65217	0.00434
-5239.13043	0.00433
-5282.6087	0.00434
-5326.08696	0.00437
-5369.56522	0.0044
-5413.04348	0.00441
-5456.52174	0.00445
-5500	0.00444
-5543.47826	0.00446
-5586.95652	0.00451
-5630.43478	0.00454
-5673.91304	0.00454
-5717.3913	0.00456
-5760.86957	0.0045
-5804.34783	0.00451
-5847.82609	0.00458
-5891.30435	0.00458
-5934.78261	0.00444
-5978.26087	0.00441
-6021.73913	0.00446
-6065.21739	0.00446
-6108.69565	0.00453
-6152.17391	0.00449
-6195.65217	0.0045
-6239.13043	0.0045
-6282.6087	0.0044
-6326.08696	0.00446
-6369.56522	0.00444
-6413.04348	0.00447
-6456.52174	0.00455
-6500	0.00452
