H	M
-9481.93164	-8.54417E-5
-9443.87012	-8.53091E-5
-9427.91162	-8.47629E-5
-9401.03125	-8.64643E-5
-9378.08936	-8.33488E-5
-9355.13379	-8.81806E-5
-9311.19189	-8.51485E-5
-9297.22314	-8.80484E-5
-9270.22363	-8.42056E-5
-9220.29736	-8.58424E-5
-9184.38721	-8.52517E-5
-9170.37451	-8.29257E-5
-9129.89844	-8.54972E-5
-9115.79834	-8.42525E-5
-9071.97705	-8.39774E-5
-9056.99658	-8.41202E-5
-9033.03271	-8.43504E-5
-8988.12598	-8.47508E-5
-8973.12305	-8.43084E-5
-8929.18555	-8.56366E-5
-8916.29248	-8.48814E-5
-8891.40332	-8.13011E-5
-8844.51855	-8.45922E-5
-8831.54053	-8.4557E-5
-8787.61133	-8.33104E-5
-8772.71094	-8.33394E-5
-8745.68994	-8.36704E-5
-8719.78271	-8.38583E-5
-8673.84277	-8.30187E-5
-8658.84326	-8.38761E-5
-8610.89258	-8.34864E-5
-8576.90234	-8.25425E-5
-8544.15674	-8.31842E-5
-8511.10791	-8.29457E-5
-8478.23242	-8.33037E-5
-8447.24463	-8.09521E-5
-8433.29395	-8.31138E-5
-8387.38086	-8.19809E-5
-8372.40723	-8.32169E-5
-8328.47119	-8.17509E-5
-8295.46436	-8.2343E-5
-8281.55713	-8.16881E-5
-8236.61768	-8.12961E-5
-8204.6792	-8.23168E-5
-8171.71143	-8.10825E-5
-8156.77466	-8.21428E-5
-8131.823	-8.23079E-5
-8090.78711	-8.01594E-5
-8075.86523	-8.07693E-5
-8030.85498	-8.17494E-5
-7992.11816	-8.10245E-5
-7978.16772	-8.29162E-5
-7952.17456	-8.11548E-5
-7926.15308	-8.05874E-5
-7901.23145	-7.97009E-5
-7875.44507	-8.14313E-5
-7831.41602	-8.15799E-5
-7816.4104	-7.86827E-5
-7770.49438	-8.05821E-5
-7736.42358	-8.0583E-5
-7721.48413	-7.95207E-5
-7675.57666	-7.82331E-5
-7641.59912	-7.77035E-5
-7603.69287	-7.86696E-5
-7587.72632	-8.01212E-5
-7562.7124	-7.81737E-5
-7539.76953	-7.97272E-5
-7516.81836	-8.084E-5
-7474.74487	-8.01105E-5
-7459.76318	-7.85136E-5
-7413.08618	-8.14066E-5
-7398.01538	-7.79265E-5
-7349.20117	-7.73064E-5
-7334.18286	-7.81252E-5
-7309.104	-7.88391E-5
-7269.1814	-7.90972E-5
-7254.1731	-7.67936E-5
-7228.21167	-7.80076E-5
-7204.23486	-7.53756E-5
-7181.21436	-7.81811E-5
-7155.21899	-7.86299E-5
-7108.42773	-7.75801E-5
-7077.38477	-7.72347E-5
-7062.28882	-7.77014E-5
-7036.26587	-7.73891E-5
-6991.44849	-7.66046E-5
-6977.44849	-7.69291E-5
-6935.58057	-7.70605E-5
-6921.55078	-7.64469E-5
-6877.72754	-7.63982E-5
-6842.26489	-7.61304E-5
-6808.06201	-7.84562E-5
-6774.28394	-7.61103E-5
-6737.1333	-7.59707E-5
-6708.27856	-7.67506E-5
-6676.26392	-7.55549E-5
-6660.28564	-7.73826E-5
-6613.33276	-7.5475E-5
-6601.2915	-7.64379E-5
-6577.32397	-7.53993E-5
-6535.3999	-7.47471E-5
-6502.45947	-7.48336E-5
-6469.56445	-7.44478E-5
-6433.5083	-7.49284E-5
-6404.47314	-7.45514E-5
-6369.52319	-7.69776E-5
-6356.44141	-7.49604E-5
-6312.49023	-7.47208E-5
-6297.52002	-7.38183E-5
-6251.65576	-7.47083E-5
-6219.7207	-7.42506E-5
-6186.70361	-7.28777E-5
-6147.84692	-7.434E-5
-6115.70288	-7.45095E-5
-6102.61133	-7.38086E-5
-6059.76782	-7.25355E-5
-6027.86914	-7.17351E-5
-5995.8147	-7.51534E-5
-5967.82129	-7.26257E-5
-5953.79932	-7.38265E-5
-5928.89063	-7.28612E-5
-5903.96313	-7.02297E-5
-5876.94312	-7.2062E-5
-5826.77612	-7.32025E-5
-5814.82349	-6.9929E-5
-5773.85254	-7.46156E-5
-5760.93066	-7.24565E-5
-5735.09009	-7.20722E-5
-5692.23389	-7.07179E-5
-5678.15088	-7.3246E-5
-5628.3269	-7.03007E-5
-5598.34229	-7.19942E-5
-5569.16943	-7.04426E-5
-5537.32813	-6.97035E-5
-5521.32593	-7.04687E-5
-5473.25806	-6.98875E-5
-5440.36499	-6.85687E-5
-5412.26489	-7.17646E-5
-5379.34717	-6.94909E-5
-5363.24854	-6.95328E-5
-5318.38696	-6.96046E-5
-5288.37012	-7.06267E-5
-5253.46362	-6.94126E-5
-5240.46729	-6.9324E-5
-5194.41968	-6.71006E-5
-5180.31152	-7.04676E-5
-5136.55811	-6.81475E-5
-5122.63428	-6.86611E-5
-5099.62573	-6.87742E-5
-5055.62036	-7.00865E-5
-5021.71338	-6.98909E-5
-4987.45239	-7.0198E-5
-4956.42017	-6.88841E-5
-4921.48926	-6.92404E-5
-4889.56006	-6.83097E-5
-4874.62231	-6.83611E-5
-4829.56079	-6.69673E-5
-4815.59375	-6.85502E-5
-4772.72119	-6.77005E-5
-4759.71875	-6.68366E-5
-4715.67456	-6.66118E-5
-4701.68945	-6.85061E-5
-4675.64746	-6.80518E-5
-4627.75879	-6.77915E-5
-4611.86035	-6.77145E-5
-4584.61084	-6.62932E-5
-4539.70093	-6.75712E-5
-4507.58276	-6.53968E-5
-4474.62134	-6.70201E-5
-4443.63574	-6.45851E-5
-4409.58154	-6.51947E-5
-4395.55615	-6.42299E-5
-4349.47559	-6.61E-5
-4335.50122	-6.61126E-5
-4291.63062	-6.5713E-5
-4275.69458	-6.56866E-5
-4230.62866	-6.41441E-5
-4192.64014	-6.31629E-5
-4158.6167	-6.50386E-5
-4145.57568	-6.45707E-5
-4101.55273	-6.44146E-5
-4069.67957	-6.47458E-5
-4054.7655	-6.32203E-5
-4009.72351	-6.29306E-5
-3993.75391	-6.23216E-5
-3947.86267	-6.349E-5
-3934.80005	-6.12301E-5
-3894.8219	-6.39303E-5
-3881.79297	-6.22084E-5
-3855.85242	-6.1259E-5
-3828.89124	-6.22499E-5
-3787.82056	-6.28088E-5
-3754.01868	-6.20978E-5
